zip_code,lat,lng,walk_score,bike_score
63021,38.577,-90.5255,30,30
63129,38.4566,-90.3282,0,0
63031,38.8069,-90.3401,38,39
63123,38.5476,-90.3241,47,31
63136,38.7196,-90.27,45,21
63026,38.5015,-90.4683,12,8
63017,38.6491,-90.5358,10,13
63033,38.7947,-90.2831,40,34
63122,38.5781,-90.4256,22,22
63011,38.6091,-90.5598,28,30
63114,38.7023,-90.3644,69,41
63119,38.5893,-90.3481,68,48
63125,38.5222,-90.3021,46,31
63146,38.7033,-90.4618,30,25
63130,38.6669,-90.3225,53,47
63128,38.4915,-90.3772,21,9
63121,38.7071,-90.3055,35,57
63043,38.7229,-90.4474,38,36
63141,38.6565,-90.4542,14,18
63137,38.7468,-90.2131,22,27
63005,38.6318,-90.6142,0,3
63034,38.8338,-90.2936,7,28
63131,38.6171,-90.4504,1,21
63138,38.8033,-90.2065,5,14
63042,38.7809,-90.3669,26,34
63135,38.7497,-90.3012,54,44
63105,38.6459,-90.3264,38,59
63069,38.4922,-90.748,0,7
63126,38.5495,-90.3811,33,19
63074,38.7259,-90.3864,63,41
63025,38.5128,-90.6306,33,10
63132,38.6746,-90.3747,51,39
63134,38.7435,-90.341,1,20
63044,38.7506,-90.4161,16,17
63124,38.6372,-90.3776,14,16
63117,38.6295,-90.3342,68,47
63144,38.6182,-90.3489,77,72
63088,38.5576,-90.4924,36,33
63143,38.6111,-90.3225,91,60
63040,38.5667,-90.631,2,3
63038,38.5878,-90.6639,1,14
63133,38.6779,-90.3033,37,30
63127,38.5355,-90.407,2,1
63140,38.7375,-90.3265,3,20
63045,38.7689,-90.4662,18,34
63001,nan,nan,,0
63198,nan,nan,,0
63145,38.6383,-90.4271,1,22
63099,38.6383,-90.4271,1,22
63006,38.6631,-90.5771,40,26
63022,38.5951,-90.5462,51,40
63024,38.5951,-90.5462,51,40
63032,38.6383,-90.4271,1,22
63151,38.6383,-90.4271,1,22
63167,38.6383,-90.4271,1,22
63171,38.6531,-90.2435,68,56
63195,38.6531,-90.2435,68,56
